,Time for HR (s),HR (BPM),Avg HR (BPM)
406,314.288,79.78723404255217,83.74380751854174
407,315.04,82.41758241758788,83.74380751854174
408,315.768,78.12499999999704,83.79876599436002
409,316.536,81.52173913043589,83.94081144890541
410,317.272,80.64516129031952,84.10244937994003
411,318.016,81.52173913043589,84.26408731097439
412,318.752,83.33333333333675,84.38436222506381
413,319.472,84.26966292134288,84.49811348896675
414,320.184,85.22727272727867,84.55307196478503
415,320.888,84.26966292134288,84.51343137281894
416,321.6,87.2093023255829,84.41539215713263
417,322.288,85.2272727272718,84.2715171228767
418,322.992,87.2093023255829,84.06697166833112
419,323.68,83.33333333333675,83.89801046682922
420,324.4,87.20930232557569,83.8640546094439
421,325.088,85.22727272727867,83.84613774370101
422,325.792,85.2272727272718,83.89762515788865
423,326.496,85.2272727272718,83.95509642225632
424,327.2,89.2857142857109,84.0728358257101
425,327.872,89.28571428571846,84.13030709007793
426,328.544,91.46341463414552,84.14989956656692
427,329.2,89.2857142857109,84.18864423917447
428,329.872,87.2093023255829,84.26275491111119
429,330.56,84.2696629213496,84.48596919682547
430,331.272,88.23529411764618,84.46765417851037
431,331.952,86.20689655172087,84.61945683505702
432,332.648,84.2696629213496,84.63661538001237
433,333.36,85.2272727272718,84.63661538001226
434,334.064,86.20689655172791,84.65306274843338
435,334.76,86.20689655172087,84.56901971840196
436,335.456,83.33333333333675,84.48672873749356
437,336.176,87.2093023255829,84.45203863573587
438,336.864,84.26966292134288,84.2853719690691
439,337.576,85.22727272727867,84.23041349325098
440,338.28,83.33333333333017,84.19253470537214
441,339.0,84.2696629213496,84.17380811361188
442,339.712,74.99999999999893,84.15375999813479
443,340.512,79.78723404255217,84.15375999813479
444,341.264,78.94736842105358,83.88016218691719
445,342.024,81.52173913043589,83.72864703540203
446,342.76,81.52173913043589,83.54696098889046
447,343.496,86.20689655172087,83.37302777924286
448,344.192,82.41758241758144,83.26422700554845
449,344.92,86.20689655172791,83.10607330358043
450,345.616,86.20689655172087,82.88285901786615
451,346.312,86.20689655172791,82.71004795795831
452,347.008,85.2272727272718,82.52913131362702
453,347.712,89.2857142857109,82.24341702791278
454,348.384,82.41758241758144,82.0781783498222
455,349.112,88.23529411765355,81.92339733629318
456,349.792,80.64516129031952,81.77159467974664
457,350.536,82.41758241758144,81.5626082638638
458,351.264,78.94736842105358,81.56260826386365
459,352.024,77.31958762886494,81.47096603512473
460,352.8,76.53061224489876,81.43222136251717
461,353.584,79.78723404255217,81.37475009814936
462,354.336,74.99999999999893,81.39347668990962
463,355.136,81.52173913043589,81.26219386920447
464,355.872,83.33333333333675,81.26219386920447
465,356.592,83.33333333333017,81.12014841465896
466,357.312,86.20689655172791,81.06638497379873
467,358.008,85.2272727272718,80.97673639622292
468,358.712,73.5294117647031,80.94732463151699
469,359.528,75.75757575757832,80.85157995066594
470,360.32,78.12499999999704,80.83513258224491
471,361.088,76.53061224489876,80.76719779963614
472,361.872,79.78723404255217,80.73250769787846
473,362.624,77.31958762887061,80.71291522138962
474,363.4,78.12499999999704,80.73123023970459
475,364.168,80.64516129032569,80.71163776321546
476,364.912,82.41758241758144,80.67289309060804
477,365.64,74.99999999999893,80.63414841800048
478,366.44,78.94736842105358,80.38591364306666
479,367.2,76.53061224489876,80.13081160225042
480,367.984,80.64516129031952,80.06140732231987
481,368.728,75.75757575757832,79.82731368486476
482,369.52,84.26966292134288,79.81015513990943
483,370.232,80.64516129032569,79.72430349155775
484,370.976,84.2696629213496,79.69174787571396
485,371.688,83.33333333333017,79.74110080398783
486,372.408,84.2696629213496,79.74110080398783
487,373.12,80.64516129032569,79.66050763828825
488,373.864,84.26966292134288,79.64565615313977
489,374.576,78.12500000000283,79.577721370531
490,375.344,80.64516129031952,79.54148948647297
491,376.088,79.78723404255821,79.48772604561287
492,376.84,73.5294117647031,79.46813356912375
493,377.656,74.99999999999893,79.46813356912375
